127.0.0.1 - - [12/Aug/2021:17:36:34 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:36:34 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:36:35 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:36:57 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:36:57 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:08 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:08 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:10 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:11 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:20 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:37:20 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:45:38 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:06 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:15 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:17 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:26 +0530] "GET /Shopping_cart_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:26 +0530] "GET /Shopping_cart_Project/css/addressPaymentForOrder-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:29 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:46:33 +0530] "GET /Shopping_cart_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:22 +0530] "GET /Shopping_cart_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 2599
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:27 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3336
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:33 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:36 +0530] "GET /Shopping_cart_Project/addToCartAction.jsp?id=4 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:36 +0530] "GET /Shopping_cart_Project/home.jsp?msg=added HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:39 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:42 +0530] "GET /Shopping_cart_Project/addressPaymentForOrder.jsp HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:50 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:55 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:59 +0530] "GET /Shopping_cart_Project/addToCartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:51:59 +0530] "GET /Shopping_cart_Project/home.jsp?msg=added HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:52:02 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 4512
0:0:0:0:0:0:0:1 - - [12/Aug/2021:17:52:08 +0530] "GET /Shopping_cart_Project/myCart.jsp HTTP/1.1" 200 4512
