127.0.0.1 - - [04/Aug/2021:22:03:41 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:03:42 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:03:42 +0530] "GET /Shopping_cart_Project/css/signup-style.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:03:42 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:04:20 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:04:21 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:35:29 +0530] "GET /Shopping_cart_Project/Table/Create_tables.jsp HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:54:40 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:54:47 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:54:47 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:54:47 +0530] "GET /Shopping_cart_Project/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:57:31 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [04/Aug/2021:22:59:56 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:00:42 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:00:42 +0530] "GET /Shopping_cart_Project/css/addNewProduct-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:00:43 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:05:51 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:06:00 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:16:20 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:27:40 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:27:43 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:27:43 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:27:48 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:28:31 +0530] "POST /Shopping_cart_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:28:31 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:33:36 +0530] "POST /Shopping_cart_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:33:36 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:42:40 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:42:42 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:49:20 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2662
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:52:30 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:52:32 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:52:35 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:53:26 +0530] "GET /Shopping_cart_Project/Table/Create_tables.jsp HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:53:57 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:53:58 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:54:03 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 2702
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:58:15 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:58:28 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:58:56 +0530] "POST /Shopping_cart_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:58:56 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:59:51 +0530] "POST /Shopping_cart_Project/admin/addNewProductAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2021:23:59:51 +0530] "GET /Shopping_cart_Project/admin/addNewProduct.jsp?msg=done HTTP/1.1" 200 2329
