127.0.0.1 - - [10/Aug/2021:19:03:43 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:03:45 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:03:45 +0530] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:04:52 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:20 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:20 +0530] "GET /Shopping_cart_Project/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:27 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:27 +0530] "GET /Shopping_cart_Project/login.jsp?msg=notexist HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:33 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:06:33 +0530] "GET /Shopping_cart_Project/login.jsp?msg=notexist HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:07:08 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:07:09 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:08:34 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:08:35 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:08:43 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:35 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:35 +0530] "GET /Shopping_cart_Project/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:35 +0530] "GET /Shopping_cart_Project/css/addNewProduct-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:39 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:42 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp?id=1 HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:48 +0530] "GET /Shopping_cart_Project/admin/editProduct.jsp HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:09:53 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:10:28 +0530] "GET /Shopping_cart_Project/login.jsp HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:10:35 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:10:35 +0530] "GET /Shopping_cart_Project/home.jsp HTTP/1.1" 200 1293
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:11:19 +0530] "POST /Shopping_cart_Project/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:11:20 +0530] "GET /Shopping_cart_Project/admin/adminHome.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:11:27 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3016
0:0:0:0:0:0:0:1 - - [10/Aug/2021:19:11:30 +0530] "GET /Shopping_cart_Project/admin/allProductEditProduct.jsp HTTP/1.1" 200 3016
